dados,euro
31.10.2023,5.3427
30.10.2023,5.3566
27.10.2023,5.2981
26.10.2023,5.2653
25.10.2023,5.2759
24.10.2023,5.2843
23.10.2023,5.3459
20.10.2023,5.3296
19.10.2023,5.3569
18.10.2023,5.3298
17.10.2023,5.3313
16.10.2023,5.3188
13.10.2023,5.3387
12.10.2023,5.3114
11.10.2023,5.3598
10.10.2023,5.3562
09.10.2023,5.4257
06.10.2023,5.4472
05.10.2023,5.4489
04.10.2023,5.4129
03.10.2023,5.4072
02.10.2023,5.3019
29.09.2023,5.3195
28.09.2023,5.3145
27.09.2023,5.2946
26.09.2023,5.2742
25.09.2023,5.261
22.09.2023,5.2569
21.09.2023,5.2598
20.09.2023,5.2017
19.09.2023,5.1963
18.09.2023,5.1906
15.09.2023,5.1851
14.09.2023,5.1788
13.09.2023,5.2731
12.09.2023,5.3195
11.09.2023,5.2995
08.09.2023,5.3369
07.09.2023,5.3246
06.09.2023,5.3403
05.09.2023,5.3282
04.09.2023,5.3278
01.09.2023,5.3286
31.08.2023,5.3711
30.08.2023,5.3407
29.08.2023,5.2783
28.08.2023,5.2712
25.08.2023,5.2608
24.08.2023,5.2755
23.08.2023,5.2744
22.08.2023,5.3554
21.08.2023,5.423
18.08.2023,5.4002
17.08.2023,5.4092
16.08.2023,5.4266
15.08.2023,5.4351
14.08.2023,5.4099
11.08.2023,5.3695
10.08.2023,5.3714
09.08.2023,5.379
08.08.2023,5.3681
07.08.2023,5.3918
04.08.2023,5.3655
03.08.2023,5.3812
02.08.2023,5.2611
01.08.2023,5.2616
31.07.2023,5.1944
28.07.2023,5.2141
27.07.2023,5.2038
26.07.2023,5.2494
25.07.2023,5.2497
24.07.2023,5.2291
21.07.2023,5.3153
20.07.2023,5.3392
19.07.2023,5.3648
18.07.2023,5.4003
17.07.2023,5.401
14.07.2023,5.3776
13.07.2023,5.3843
12.07.2023,5.3619
11.07.2023,5.3421
10.07.2023,5.3875
07.07.2023,5.3431
06.07.2023,5.3556
05.07.2023,5.2622
04.07.2023,5.2653
03.07.2023,5.2452
30.06.2023,5.2215
29.06.2023,5.2748
28.06.2023,5.2925
27.06.2023,5.2716
26.06.2023,5.1985
23.06.2023,5.2119
22.06.2023,5.2248
21.06.2023,5.2317
20.06.2023,5.2285
19.06.2023,5.2172
16.06.2023,5.2703
15.06.2023,5.2646
14.06.2023,5.2147
13.06.2023,5.2479
12.06.2023,5.2293
09.06.2023,5.2436
08.06.2023,5.308
07.06.2023,5.2667
06.06.2023,5.2535
05.06.2023,5.2798
02.06.2023,5.3071
01.06.2023,5.3951
31.05.2023,5.4053
30.05.2023,5.4048
29.05.2023,5.3708
26.05.2023,5.3555
25.05.2023,5.3987
24.05.2023,5.3331
23.05.2023,5.3542
22.05.2023,5.369
19.05.2023,5.3989
18.05.2023,5.347
17.05.2023,5.354
16.05.2023,5.3656
15.05.2023,5.3154
12.05.2023,5.3367
11.05.2023,5.3805
10.05.2023,5.4268
09.05.2023,5.4649
08.05.2023,5.5127
